split,track_id,profile,duration_sec,n_total_events_track,event_density_per_sec,class_name,threshold,threshold_mode,TP,FP,FN,precision,recall,f1,mean_abs_time_error_ms,median_abs_time_error_ms,p90_abs_time_error_ms
TEST,test_basic_groove_000047_104bpm,basic_groove,3.7,11,2.972972972972973,T16,0.04,global,1,0,0,1.0,1.0,1.0,2.2500000000000853,2.2500000000000853,2.2500000000000853
TEST,test_basic_groove_000049_91bpm,basic_groove,4.45,11,2.4719101123595504,KD,0.04,global,3,4,1,0.42857142857142855,0.75,0.5454545454545454,12.222333333333205,5.499999999999616,25.633599999999927
TEST,test_basic_groove_000049_91bpm,basic_groove,4.45,11,2.4719101123595504,SD,0.04,global,2,0,1,1.0,0.6666666666666666,0.8,16.791500000000013,16.791500000000013,23.2247
TEST,test_basic_groove_000049_91bpm,basic_groove,4.45,11,2.4719101123595504,T12,0.04,global,0,3,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000049_91bpm,basic_groove,4.45,11,2.4719101123595504,T14,0.04,global,1,0,0,1.0,1.0,1.0,8.66699999999998,8.66699999999998,8.66699999999998
TEST,test_basic_groove_000049_91bpm,basic_groove,4.45,11,2.4719101123595504,T16,0.04,global,1,1,1,0.5,0.5,0.5,4.0000000000000036,4.0000000000000036,4.0000000000000036
TEST,test_basic_groove_000051_111bpm,basic_groove,3.73,12,3.2171581769436997,KD,0.04,global,3,4,1,0.42857142857142855,0.75,0.5454545454545454,23.555666666666678,20.167000000000044,44.4334
TEST,test_basic_groove_000051_111bpm,basic_groove,3.73,12,3.2171581769436997,SD,0.04,global,2,4,3,0.3333333333333333,0.4,0.3636363636363636,14.582999999999956,14.582999999999956,14.782999999999978
TEST,test_basic_groove_000051_111bpm,basic_groove,3.73,12,3.2171581769436997,T12,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000051_111bpm,basic_groove,3.73,12,3.2171581769436997,T14,0.04,global,0,0,1,0.0,0.0,0.0,,,
