threshold_mode,track_id,profile,duration_sec,event_density_per_sec,TP,FP,FN,precision,recall,f1
global,test_fast_dense_000199_174bpm,fast_dense,3.35,4.776119402985074,8,8,8,0.5,0.5,0.5
global,test_fill_heavy_000015_96bpm,fill_heavy,4.47,3.3557046979865772,8,9,7,0.47058823529411764,0.5333333333333333,0.5
global,test_fill_heavy_000608_121bpm,fill_heavy,3.97,3.526448362720403,8,10,6,0.4444444444444444,0.5714285714285714,0.5
global,test_fill_heavy_000851_126bpm,fill_heavy,3.87,3.875968992248062,8,9,7,0.47058823529411764,0.5333333333333333,0.5
global,test_basic_groove_000157_113bpm,basic_groove,3.92,3.061224489795918,7,9,5,0.4375,0.5833333333333334,0.5
global,test_fast_dense_000491_181bpm,fast_dense,3.3,4.242424242424242,7,7,7,0.5,0.5,0.5
global,test_fast_dense_000878_158bpm,fast_dense,3.5,4.0,7,7,7,0.5,0.5,0.5
global,test_fill_heavy_000645_109bpm,fill_heavy,4.11,2.9197080291970803,7,9,5,0.4375,0.5833333333333334,0.5
global,test_humanized_mixed_000166_83bpm,humanized_mixed,4.8,2.916666666666667,7,7,7,0.5,0.5,0.5
global,test_humanized_mixed_000175_146bpm,humanized_mixed,3.55,3.943661971830986,7,7,7,0.5,0.5,0.5
global,test_standard_rock_000912_107bpm,standard_rock,4.17,2.8776978417266186,7,9,5,0.4375,0.5833333333333334,0.5
global,test_basic_groove_000141_106bpm,basic_groove,3.95,3.0379746835443036,6,6,6,0.5,0.5,0.5
global,test_basic_groove_000164_97bpm,basic_groove,4.46,2.690582959641256,6,6,6,0.5,0.5,0.5
global,test_basic_groove_000358_96bpm,basic_groove,4.32,2.7777777777777777,6,6,6,0.5,0.5,0.5
global,test_basic_groove_000691_90bpm,basic_groove,4.42,2.7149321266968327,6,6,6,0.5,0.5,0.5
global,test_basic_groove_000964_95bpm,basic_groove,4.18,2.870813397129187,6,6,6,0.5,0.5,0.5
global,test_humanized_mixed_000279_137bpm,humanized_mixed,3.73,2.680965147453083,6,8,4,0.42857142857142855,0.6,0.5
global,test_humanized_mixed_000406_89bpm,humanized_mixed,4.6,2.173913043478261,6,8,4,0.42857142857142855,0.6,0.5
global,test_humanized_mixed_000416_120bpm,humanized_mixed,3.92,2.5510204081632653,6,8,4,0.42857142857142855,0.6,0.5
global,test_standard_rock_000156_137bpm,standard_rock,3.72,2.6881720430107525,6,8,4,0.42857142857142855,0.6,0.5
global,test_standard_rock_000232_130bpm,standard_rock,3.82,3.141361256544503,6,6,6,0.5,0.5,0.5
global,test_standard_rock_000315_113bpm,standard_rock,4.03,2.4813895781637716,6,8,4,0.42857142857142855,0.6,0.5
global,test_standard_rock_000504_131bpm,standard_rock,3.8,3.1578947368421053,6,6,6,0.5,0.5,0.5
global,test_standard_rock_000527_132bpm,standard_rock,3.8,3.1578947368421053,6,6,6,0.5,0.5,0.5
global,test_standard_rock_000649_136bpm,standard_rock,3.74,3.2085561497326203,6,6,6,0.5,0.5,0.5
global,test_standard_rock_000735_143bpm,standard_rock,3.6,2.7777777777777777,6,8,4,0.42857142857142855,0.6,0.5
global,test_standard_rock_000749_119bpm,standard_rock,3.95,3.0379746835443036,6,6,6,0.5,0.5,0.5
global,test_standard_rock_001102_140bpm,standard_rock,3.69,3.252032520325203,6,6,6,0.5,0.5,0.5
global,test_basic_groove_000074_103bpm,basic_groove,3.87,2.5839793281653747,5,5,5,0.5,0.5,0.5
global,test_basic_groove_000334_112bpm,basic_groove,3.71,2.964959568733154,5,4,6,0.5555555555555556,0.45454545454545453,0.5
global,test_basic_groove_000370_99bpm,basic_groove,3.95,2.7848101265822782,5,4,6,0.5555555555555556,0.45454545454545453,0.5
global,test_basic_groove_000477_108bpm,basic_groove,3.78,2.9100529100529102,5,4,6,0.5555555555555556,0.45454545454545453,0.5
global,test_basic_groove_000498_91bpm,basic_groove,4.44,2.477477477477477,5,4,6,0.5555555555555556,0.45454545454545453,0.5
global,test_basic_groove_000822_102bpm,basic_groove,4.04,2.722772277227723,5,4,6,0.5555555555555556,0.45454545454545453,0.5
global,test_basic_groove_000876_99bpm,basic_groove,3.79,2.9023746701846966,5,4,6,0.5555555555555556,0.45454545454545453,0.5
global,test_basic_groove_001058_113bpm,basic_groove,4.1,2.682926829268293,5,4,6,0.5555555555555556,0.45454545454545453,0.5
global,test_fill_heavy_001059_130bpm,fill_heavy,3.76,2.6595744680851063,5,5,5,0.5,0.5,0.5
global,test_humanized_mixed_000144_135bpm,humanized_mixed,3.7,2.972972972972973,5,4,6,0.5555555555555556,0.45454545454545453,0.5
global,test_humanized_mixed_000576_145bpm,humanized_mixed,3.42,3.5087719298245617,5,3,7,0.625,0.4166666666666667,0.5
global,test_standard_rock_000093_108bpm,standard_rock,4.01,2.9925187032418954,5,3,7,0.625,0.4166666666666667,0.5
global,test_standard_rock_000136_133bpm,standard_rock,3.61,2.770083102493075,5,5,5,0.5,0.5,0.5
global,test_standard_rock_000214_142bpm,standard_rock,3.57,3.361344537815126,5,3,7,0.625,0.4166666666666667,0.5
global,test_standard_rock_000297_137bpm,standard_rock,3.73,2.680965147453083,5,5,5,0.5,0.5,0.5
global,test_standard_rock_000384_127bpm,standard_rock,3.87,2.5839793281653747,5,5,5,0.5,0.5,0.5
global,test_standard_rock_000431_121bpm,standard_rock,3.95,2.531645569620253,5,5,5,0.5,0.5,0.5
global,test_standard_rock_000499_141bpm,standard_rock,3.68,2.717391304347826,5,5,5,0.5,0.5,0.5
global,test_standard_rock_000669_142bpm,standard_rock,3.6,3.0555555555555554,5,4,6,0.5555555555555556,0.45454545454545453,0.5
global,test_standard_rock_000694_131bpm,standard_rock,3.81,3.149606299212598,5,3,7,0.625,0.4166666666666667,0.5
global,test_standard_rock_000710_141bpm,standard_rock,3.67,2.7247956403269757,5,5,5,0.5,0.5,0.5
global,test_standard_rock_000736_139bpm,standard_rock,3.38,3.2544378698224854,5,4,6,0.5555555555555556,0.45454545454545453,0.5
global,test_standard_rock_000844_120bpm,standard_rock,3.92,2.806122448979592,5,4,6,0.5555555555555556,0.45454545454545453,0.5
global,test_standard_rock_000963_142bpm,standard_rock,3.67,2.7247956403269757,5,5,5,0.5,0.5,0.5
global,test_standard_rock_001183_106bpm,standard_rock,4.18,2.3923444976076556,5,5,5,0.5,0.5,0.5
global,test_standard_rock_000992_138bpm,standard_rock,3.61,2.770083102493075,4,2,6,0.6666666666666666,0.4,0.5
